"amount","freq","HPA","ask1","ask2","ask3","control","treatment","ask","ratio","size","gave","sizeno","years","couple","female","redcty","bluecty","askd1","askd2","askd3","cases","nonlit","ratio2","ratio3","size25","size50","size100","MRM2","dormant","ltmedMRA","red0","blue0","close25","amountchange"
0,3,190,200,250,300,1,0,0,0,0,0,0,19,,,0,1,0,0,0,1,5,0,0,0,0,0,31,1,1,1,0,0,-25
0,28,25,35,45,55,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,1,4,0,0,0,0,0,31,1,1,1,0,1,-15
0,27,75,85,110,130,0,1,3,1,1,0,0,19,0,0,1,0,0,0,1,0,4,0,0,1,0,0,22,1,1,1,0,1,-25
40,41,100,125,160,190,0,1,1,2,3,1,0,19,1,0,1,0,1,0,0,2,6,1,0,0,0,1,7,0,0,1,0,0,-20
0,27,75,85,110,130,0,1,1,1,1,0,0,19,0,0,1,0,1,0,0,0,5,0,0,1,0,0,2,0,0,1,0,0,-35
0,107,50,55,70,85,1,0,0,0,0,0,0,17,0,1,0,1,0,0,0,1,3,0,0,0,0,0,14,1,1,1,0,0,-25
0,6,300,500,625,750,1,0,0,0,0,0,0,15,0,1,0,1,0,0,0,1,0,0,0,0,0,0,26,1,0,0,1,0,-50
0,20,100,125,160,190,0,1,1,3,3,0,0,19,0,0,1,0,1,0,0,1,0,0,1,0,0,1,6,0,0,0,1,0,-50
0,11,45,25,35,50,0,1,1,1,1,0,0,18,0,0,0,1,1,0,0,1,0,0,0,1,0,0,10,1,1,0,1,0,-25
0,27,500,750,950,1125,0,1,2,1,2,0,0,19,0,0,0,1,0,1,0,1,0,0,0,0,1,0,36,1,0,0,1,0,-500
25,19,25,35,45,55,0,1,2,1,2,1,0,19,0,0,0,1,0,1,0,1,0,0,0,0,1,0,8,1,1,0,1,0,0
0,20,35,45,60,70,0,1,2,3,4,0,1,19,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,1,0,1,0,-30
0,8,100,125,160,190,1,0,0,0,0,0,0,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,35,1,0,0,1,0,-50
0,17,35,45,60,70,0,1,2,2,4,0,1,18,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,0,1,0,1,0,-10
0,24,118,125,160,190,0,1,3,3,1,0,0,19,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,-100
0,16,75,85,110,130,0,1,2,3,1,0,0,18,0,0,0,1,0,1,0,1,0,0,1,1,0,0,10,1,0,0,1,0,-75
0,218,45,55,70,85,0,1,1,1,1,0,0,9,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,-20
0,30,35,45,60,70,0,1,3,1,4,0,1,18,0,0,0,1,0,0,1,1,0,0,0,0,0,0,24,1,1,0,1,0,-10
0,15,300,500,625,750,0,1,2,2,2,0,0,19,0,0,0,1,0,1,0,1,0,1,0,0,1,0,35,1,0,0,1,0,-100
0,32,35,45,60,70,0,1,3,3,1,0,0,19,0,1,0,1,0,0,1,1,0,0,1,1,0,0,6,0,0,0,1,0,-35
0,20,20,25,35,50,0,1,3,3,3,0,0,19,0,0,0,1,0,0,1,1,0,0,1,0,0,1,4,0,1,0,1,0,-20
0,19,100,125,160,190,0,1,3,2,4,0,1,19,1,0,0,1,0,0,1,1,0,1,0,0,0,0,5,0,0,0,1,0,-50
0,28,60,65,85,100,0,1,3,2,2,0,0,19,1,0,0,1,0,0,1,2,0,1,0,0,1,0,2,0,1,0,1,0,-10
0,1,50,55,70,85,0,1,1,3,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,8,1,0,0,1,0,-50
0,17,55,65,85,100,0,1,3,1,2,0,0,13,0,1,0,1,0,0,1,2,1,0,0,0,1,0,19,1,0,1,0,0,-50
0,16,75,85,110,130,0,1,3,1,1,0,0,19,0,0,0,1,0,0,1,1,0,0,0,1,0,0,42,1,0,0,1,0,-40
0,20,35,45,60,70,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,1,0,0,0,0,0,0,42,1,1,0,1,0,-25
0,22,100,125,160,190,0,1,3,2,3,0,0,19,0,0,0,1,0,0,1,1,0,1,0,0,0,1,10,1,0,0,1,0,-50
0,6,35,25,35,50,0,1,1,3,3,0,0,19,0,1,0,1,1,0,0,2,1,0,1,0,0,1,6,0,1,0,1,0,-18
0,59,100,125,160,190,0,1,1,3,3,0,0,19,0,1,0,1,1,0,0,1,0,0,1,0,0,1,28,1,0,0,1,0,-50
25,14,200,250,315,375,0,1,3,1,2,1,0,18,0,1,0,1,0,0,1,1,0,0,0,0,1,0,30,1,0,0,1,0,-175
0,16,50,55,70,85,0,1,3,3,4,0,1,19,0,0,0,1,0,0,1,1,0,0,1,0,0,0,6,0,0,0,1,0,-50
0,18,45,55,70,85,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,-45
0,29,250,500,625,750,0,1,1,1,2,0,0,19,0,0,0,1,1,0,0,3,4,0,0,0,1,0,28,1,0,0,1,0,-200
0,94,250,500,625,750,0,1,1,3,3,0,0,19,0,1,1,0,1,0,0,1,0,0,1,0,0,1,3,0,1,0,1,0,-25
0,12,150,25,35,50,0,1,3,2,4,0,1,19,0,0,0,1,0,0,1,1,0,1,0,0,0,0,17,1,0,0,1,0,-100
0,27,65,75,95,120,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,,,0,0,0,0,0,17,1,0,0,1,0,-50
0,16,75,85,110,130,0,1,2,2,4,0,1,18,0,0,1,0,0,1,0,0,1,1,0,0,0,0,30,1,0,1,0,1,-75
0,19,200,250,315,375,0,1,2,3,2,0,0,18,1,0,0,1,0,1,0,1,0,0,1,0,1,0,8,1,0,1,0,0,-100
0,3,25,35,45,55,0,1,3,2,2,0,0,8,0,1,0,1,0,0,1,1,0,1,0,0,1,0,29,1,1,0,1,0,-25
0,22,100,25,35,50,0,1,1,2,1,0,0,19,0,0,0,1,1,0,0,1,0,1,0,1,0,0,17,1,1,0,1,0,-30
0,69,200,250,315,375,0,1,3,1,3,0,0,19,0,0,0,1,0,0,1,1,0,0,0,0,0,1,6,0,0,0,1,0,-50
0,78,50,55,70,85,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,-25
0,21,300,500,625,750,0,1,1,1,2,0,0,19,0,1,0,1,1,0,0,1,0,0,0,0,1,0,40,1,0,0,1,0,-100
0,26,100,125,160,190,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,32,1,1,0,1,0,-20
0,40,65,75,95,120,0,1,3,1,4,0,1,19,0,1,0,1,0,0,1,1,0,0,0,0,0,0,8,1,0,0,1,0,-50
0,47,1000,1500,1875,2250,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,-50
0,29,45,55,70,85,0,1,3,1,3,0,0,19,0,1,1,0,0,0,1,1,0,0,0,0,0,1,32,1,0,0,1,0,-35
0,20,125,150,190,225,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,1,0,-25
0,18,100,125,160,190,0,1,2,1,2,0,0,19,0,0,0,1,0,1,0,1,0,0,0,0,1,0,29,1,0,0,1,0,-50
0,67,500,750,950,1125,0,1,1,2,3,0,0,19,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,-150
0,44,50,55,70,85,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,3,4,0,0,0,0,0,27,1,1,0,1,0,-25
0,19,35,25,35,50,0,1,3,3,2,0,0,19,0,1,,,0,0,1,0,0,0,1,0,1,0,19,1,1,0,1,0,-25
0,17,25,35,45,55,0,1,3,2,3,0,0,19,0,1,0,1,0,0,1,0,0,1,0,0,0,1,29,1,1,0,1,0,-10
0,7,35,45,60,70,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,1,1,0,1,1,-25
0,26,35,45,60,70,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,-35
0,36,100,125,160,190,0,1,2,3,3,0,0,19,1,0,0,1,0,1,0,2,1,0,1,0,0,1,5,0,1,1,0,0,-25
0,27,50,55,70,85,0,1,1,1,2,0,0,18,0,1,1,0,1,0,0,0,0,0,0,0,1,0,13,1,1,0,1,1,-20
0,2,25,35,45,55,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31,1,1,0,1,0,-25
0,43,55,65,85,100,0,1,1,3,4,0,1,19,0,1,0,1,1,0,0,2,0,0,1,0,0,0,6,0,0,0,1,0,-50
0,26,100,125,160,190,0,1,2,3,1,0,0,19,1,0,1,0,0,1,0,2,0,0,1,1,0,0,43,1,0,0,1,0,-100
0,41,50,55,70,85,0,1,2,2,2,0,0,19,0,0,1,0,0,1,0,2,0,1,0,0,1,0,2,0,0,0,1,0,-40
25,40,50,55,70,85,0,1,3,1,4,1,1,19,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,1,0,0
0,12,45,55,70,85,1,0,0,0,0,0,0,18,0,0,1,0,0,0,0,2,0,0,0,0,0,0,14,1,0,0,1,0,-45
0,27,145,150,190,225,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,-50
0,17,35,45,60,70,0,1,2,2,3,0,0,19,0,0,1,0,0,1,0,2,0,1,0,0,0,1,42,1,1,0,1,0,-25
0,48,20,25,35,50,0,1,3,1,2,0,0,19,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,1,0,1,0,-15
15,39,50,55,70,85,0,1,3,3,1,1,0,19,0,1,0,1,0,0,1,,,0,1,1,0,0,10,1,0,0,1,0,-35
0,31,75,85,110,130,0,1,2,2,1,0,0,19,0,0,1,0,0,1,0,,,1,0,1,0,0,17,1,0,0,1,0,-50
0,25,1000,1500,1875,2250,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,1,5,0,0,0,0,0,25,1,1,1,0,0,-12.5
0,57,35,45,60,70,0,1,2,2,1,0,0,19,0,1,1,0,0,1,0,,,1,0,1,0,0,14,1,1,0,1,0,-25
0,31,200,250,315,375,0,1,2,3,4,0,1,19,0,0,0,1,0,1,0,4,5,0,1,0,0,0,6,0,1,0,1,1,-20
0,29,35,45,60,70,0,1,2,3,1,0,0,19,0,1,0,1,0,1,0,,,0,1,1,0,0,29,1,0,0,1,0,-35
0,22,75,85,110,130,0,1,3,2,4,0,1,19,1,0,0,1,0,0,1,0,0,1,0,0,0,0,34,1,0,0,1,0,-50
0,28,35,45,60,70,0,1,3,3,1,0,0,19,0,0,0,1,0,0,1,0,0,0,1,1,0,0,27,1,1,0,1,0,-20
0,18,130,150,190,225,0,1,3,2,2,0,0,19,1,0,1,0,0,0,1,0,0,1,0,0,1,0,18,1,0,0,1,0,-100
0,56,100,125,160,190,0,1,1,1,4,0,1,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,-100
0,30,600,750,950,1125,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,-150
0,24,100,125,160,190,0,1,1,2,1,0,0,19,0,1,0,1,1,0,0,0,0,1,0,1,0,0,11,1,1,0,1,0,-25
0,20,40,45,60,70,0,1,1,2,1,0,0,19,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6,0,0,0,1,0,-35
0,24,200,250,315,375,0,1,2,3,3,0,0,19,0,0,0,1,0,1,0,0,0,0,1,0,0,1,13,1,0,0,1,0,-75
0,62,25,35,45,55,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,-10
0,30,85,95,120,145,0,1,2,2,3,0,0,19,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,-50
0,32,100,125,160,190,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,1,5,0,0,0,0,0,31,1,0,1,0,0,-75
0,35,110,125,160,190,0,1,1,2,3,0,0,19,0,1,1,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,-75
0,21,40,45,60,70,0,1,2,1,1,0,0,19,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,-10
0,27,100,125,160,190,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,1,0,0,1,0,-35
0,16,35,45,60,70,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,-20
0,36,50,55,70,85,0,1,1,1,2,0,0,19,0,0,0,1,1,0,0,0,0,0,0,0,1,0,18,1,1,0,1,0,-30
0,45,150,175,220,265,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,1,1,0,1,0,-25
0,14,50,25,35,50,0,1,2,3,2,0,0,18,1,0,1,0,0,1,0,0,0,0,1,0,1,0,17,1,0,0,1,0,-50
0,15,65,25,35,50,0,1,2,1,3,0,0,19,0,1,1,0,0,1,0,0,0,0,0,0,0,1,43,1,0,0,1,0,-65
0,5,35,45,60,70,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,3,4,0,0,0,0,0,27,1,1,0,1,0,-25
0,64,85,95,120,145,0,1,2,2,3,0,0,19,0,0,0,1,0,1,0,0,0,1,0,0,0,1,6,0,0,0,1,0,-50
0,96,30,35,45,55,0,1,2,2,2,0,0,19,0,0,0,1,0,1,0,0,0,1,0,0,1,0,5,0,1,0,1,0,-20
0,16,50,55,70,85,0,1,1,2,1,0,0,19,0,0,0,1,1,0,0,0,0,1,0,1,0,0,42,1,1,0,1,0,-25
0,39,100,125,160,190,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1,0,0,1,0,-100
0,28,75,85,110,130,0,1,2,2,3,0,0,19,0,1,0,1,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,0,-50
0,19,45,55,70,85,0,1,3,2,1,0,0,19,0,0,1,0,0,0,1,1,5,1,0,1,0,0,2,0,1,1,0,0,-25
0,16,45,55,70,85,1,0,0,0,0,0,0,19,0,1,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,-45
0,19,25,35,45,55,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,-25
35,43,200,250,315,375,0,1,1,1,4,1,1,19,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,-15
0,37,100,125,160,190,0,1,2,1,2,0,0,19,0,0,0,1,0,1,0,0,0,0,0,0,1,0,42,1,1,0,1,0,-25
0,24,50,55,70,85,0,1,2,1,2,0,0,19,0,0,1,0,0,1,0,3,1,0,0,0,1,0,20,1,0,1,0,0,-50
0,54,50,55,70,85,0,1,1,2,2,0,0,19,0,0,1,0,1,0,0,0,0,1,0,0,1,0,6,0,1,0,1,0,-25
0,25,35,45,60,70,0,1,1,3,2,0,0,19,0,1,1,0,1,0,0,0,0,0,1,0,1,0,39,1,1,0,1,0,-20
0,18,50,55,70,85,0,1,3,1,3,0,0,19,0,1,0,1,0,0,1,3,4,0,0,0,0,1,15,1,1,0,1,0,-25
0,41,35,45,60,70,0,1,2,3,1,0,0,19,0,0,1,0,0,1,0,0,0,0,1,1,0,0,16,1,0,0,1,0,-35
0,23,100,125,160,190,0,1,1,3,3,0,0,19,0,0,0,1,1,0,0,3,4,0,1,0,0,1,12,1,0,0,1,0,-100
0,12,125,150,190,225,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,1,0,-125
0,17,100,125,160,190,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,1,1,0,0,0,0,0,42,1,0,1,0,0,-50
0,40,300,500,625,750,1,0,0,0,0,0,0,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,-50
0,19,100,125,160,190,1,0,0,0,0,0,0,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,-50
0,39,50,55,70,85,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,1,0,-25
0,23,25,35,45,55,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,1,1,0,1,0,-15
0,48,175,200,250,300,0,1,3,1,4,0,1,19,1,0,1,0,0,0,1,0,0,0,0,0,0,0,27,1,0,0,1,0,-175
0,3,25,35,45,55,0,1,3,2,3,0,0,18,0,1,0,1,0,0,1,2,1,1,0,0,0,1,4,0,1,0,1,0,-25
0,18,25,35,45,55,0,1,2,3,1,0,0,19,1,0,0,1,0,1,0,2,1,0,1,1,0,0,6,0,1,0,1,0,-20
0,18,75,85,110,130,1,0,0,0,0,0,0,19,,,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,-50
0,46,25,35,45,55,0,1,2,1,1,0,0,19,0,0,1,0,0,1,0,2,1,0,0,1,0,0,2,0,1,0,1,0,-25
0,9,25,35,45,55,0,1,2,1,1,0,0,19,1,0,0,1,0,1,0,3,4,0,0,1,0,0,6,0,1,0,1,0,-12.5
0,19,150,175,220,265,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,2,1,0,0,0,0,0,18,1,0,0,1,0,-150
0,28,50,55,70,85,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0,2,1,0,0,0,0,0,41,1,1,0,1,0,-25
0,68,100,125,160,190,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,2,1,0,0,0,0,0,6,0,1,0,1,0,-25
0,14,35,45,60,70,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,3,1,0,0,0,0,0,8,1,1,1,0,0,-20
0,27,55,65,85,100,0,1,1,1,4,0,1,19,0,1,0,1,1,0,0,2,1,0,0,0,0,0,2,0,1,0,1,0,-25
8,44,25,35,45,55,0,1,1,3,3,1,0,19,0,0,1,0,1,0,0,1,5,0,1,0,0,1,0,0,1,1,0,0,-4
0,32,50,55,70,85,0,1,3,3,1,0,0,19,0,1,0,1,0,0,1,2,1,0,1,1,0,0,1,0,1,0,1,0,-15
0,17,50,55,70,85,0,1,1,3,3,0,0,19,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,-50
0,43,95,100,125,150,0,1,1,2,4,0,1,18,0,0,1,0,1,0,0,2,1,1,0,0,0,0,9,1,0,0,1,0,-50
0,20,25,35,45,55,0,1,1,1,2,0,0,19,0,0,0,1,1,0,0,2,1,0,0,0,1,0,16,1,1,0,1,0,-15
0,19,50,55,70,85,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,1,3,0,0,0,0,0,28,1,0,0,1,0,-50
0,17,65,75,95,120,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,-65
0,11,50,25,35,50,0,1,3,3,3,0,0,19,0,0,0,1,0,0,1,2,1,0,1,0,0,1,18,1,0,0,1,0,-50
0,20,50,55,70,85,0,1,1,3,1,0,0,19,0,0,1,0,1,0,0,1,5,0,1,1,0,0,2,0,1,1,0,0,-30
0,1,10,25,35,50,0,1,2,2,1,0,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,0,8,1,1,0,1,0,-10
0,46,100,125,160,190,0,1,1,2,3,0,0,19,1,0,1,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,-50
0,22,175,200,250,300,0,1,2,3,1,0,0,19,0,0,1,0,0,1,0,1,5,0,1,1,0,0,17,1,0,1,0,0,-100
0,21,55,65,85,100,1,0,0,0,0,0,0,19,,,1,0,0,0,0,2,1,0,0,0,0,0,43,1,0,0,1,0,-55
0,1,30,35,45,55,0,1,3,3,4,0,1,0,0,1,1,0,0,0,1,2,1,0,1,0,0,0,4,0,1,0,1,0,-30
0,71,70,75,95,120,0,1,2,1,2,0,0,19,0,1,0,1,0,1,0,2,1,0,0,0,1,0,32,1,1,0,1,0,-15
0,27,100,125,160,190,0,1,2,1,1,0,0,19,0,0,1,0,0,1,0,2,1,0,0,1,0,0,8,1,0,0,1,0,-100
0,67,15,25,35,50,0,1,3,3,1,0,0,19,1,0,0,1,0,0,1,1,4,0,1,1,0,0,13,1,1,1,0,1,-10
0,30,200,250,315,375,0,1,2,3,3,0,0,19,0,0,1,0,0,1,0,2,1,0,1,0,0,1,6,0,0,0,1,0,-100
0,5,25,35,45,55,0,1,1,3,4,0,1,9,0,1,1,0,1,0,0,2,1,0,1,0,0,0,29,1,1,0,1,0,-25
0,25,150,175,220,265,0,1,3,2,3,0,0,19,0,1,1,0,0,0,1,2,1,1,0,0,0,1,6,0,0,0,1,0,-100
0,45,1000,1500,1875,2250,0,1,2,2,4,0,1,19,1,0,1,0,0,1,0,2,1,1,0,0,0,0,4,0,0,0,1,0,-1000
0,14,200,25,35,50,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,2,1,0,0,0,0,0,36,1,0,0,1,0,-100
0,26,300,500,625,750,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,1,3,0,0,0,0,0,8,1,0,0,1,0,-300
0,13,20,25,35,50,0,1,3,3,4,0,1,18,1,0,1,0,0,0,1,1,0,0,1,0,0,0,8,1,1,1,0,0,-15
0,7,50,55,70,85,1,0,0,0,0,0,0,18,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,-30
0,49,50,55,70,85,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,2,1,0,0,0,0,0,5,0,1,0,1,0,-10
0,19,100,125,160,190,0,1,1,3,1,0,0,19,0,0,0,1,1,0,0,1,5,0,1,1,0,0,2,0,0,1,0,0,-100
0,55,100,125,160,190,0,1,3,3,2,0,0,19,0,1,1,0,0,0,1,2,1,0,1,0,1,0,5,0,0,0,1,0,-50
0,27,60,65,85,100,0,1,2,1,3,0,0,19,0,0,1,0,0,1,0,2,1,0,0,0,0,1,5,0,1,0,1,0,-25
0,20,40,45,60,70,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,2,1,0,0,0,0,0,8,1,0,0,1,0,-35
0,18,45,55,70,85,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,1,5,0,0,0,0,0,29,1,0,1,0,0,-40
0,31,1000,1500,1875,2250,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,2,1,0,0,0,0,0,31,1,0,0,1,0,-1000
0,18,60,65,85,100,0,1,3,3,4,0,1,19,0,1,1,0,0,0,1,1,0,0,1,0,0,0,15,1,0,0,1,1,-50
0,18,50,55,70,85,1,0,0,0,0,0,0,19,0,0,1,0,0,0,0,4,5,0,0,0,0,0,19,1,0,0,1,1,-50
0,16,350,500,625,750,0,1,2,1,4,0,1,19,0,0,1,0,0,1,0,0,1,0,0,0,0,0,43,1,0,0,1,0,-350
0,41,75,85,110,130,0,1,3,3,4,0,1,19,1,0,1,0,0,0,1,2,1,0,1,0,0,0,6,0,0,0,1,0,-50
0,35,340,500,625,750,0,1,3,3,1,0,0,19,0,1,0,1,0,0,1,1,3,0,1,1,0,0,37,1,0,0,1,0,-300
0,57,35,45,60,70,0,1,2,2,4,0,1,18,0,0,0,1,0,1,0,2,1,1,0,0,0,0,13,1,1,0,1,0,-25
0,23,50,55,70,85,0,1,1,3,1,0,0,19,0,0,0,1,1,0,0,2,1,0,1,1,0,0,6,0,1,0,1,0,-25
0,57,300,500,625,750,0,1,1,2,1,0,0,19,0,0,0,1,1,0,0,2,1,1,0,1,0,0,13,1,1,0,1,0,-12
0,16,50,55,70,85,0,1,1,1,4,0,1,18,1,0,1,0,1,0,0,2,1,0,0,0,0,0,41,1,1,0,1,0,-30
0,36,525,750,950,1125,0,1,1,1,4,0,1,19,0,0,1,0,1,0,0,2,1,0,0,0,0,0,6,0,0,0,1,0,-100
0,25,125,150,190,225,0,1,1,2,3,0,0,19,0,1,0,1,1,0,0,2,1,1,0,0,0,1,6,0,0,0,1,0,-50
0,26,75,85,110,130,0,1,2,2,2,0,0,19,0,0,0,1,0,1,0,2,1,1,0,0,1,0,6,0,0,0,1,0,-75
0,23,55,65,85,100,0,1,3,3,1,0,0,19,0,1,0,1,0,0,1,2,1,0,1,1,0,0,8,1,1,0,1,0,-10
0,27,50,55,70,85,0,1,1,3,2,0,0,19,0,1,1,0,1,0,0,1,3,0,1,0,1,0,28,1,1,1,0,0,-25
